instance,algorithm,seed,objv,lb,bkv,bklb,slope,wind
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,6,622.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,10,623.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,2,620.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,4,616.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,5,617.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,1,620.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,8,615.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,9,622.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,7,617.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,3,615.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,7,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,6,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,10,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,8,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,1,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,2,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,4,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,9,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,5,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,3,822.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,1,898.0,409.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,6,785.0,430.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,3,900.0,436.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,5,763.0,441.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,9,894.0,438.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,2,840.0,442.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,7,900.0,437.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,10,819.0,432.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,8,840.0,435.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,4,898.0,422.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,7,894.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,5,891.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,3,898.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,1,898.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,9,849.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,2,892.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,10,893.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,8,895.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,6,855.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,4,898.0,0.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,RS,1,867.0,0.0,615.0,443.0,Moderate,Light
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,7,742.0,279.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,5,797.0,275.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,6,785.0,278.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,3,775.0,245.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,4,797.0,275.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,10,786.0,275.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,1,735.0,275.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,2,843.0,251.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,8,746.0,270.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,9,744.0,271.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,3,606.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,7,601.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,1,609.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,4,605.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,6,605.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,8,604.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,2,602.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,5,605.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,9,606.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,IBS,10,603.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,9,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,4,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,7,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,10,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,2,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,3,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,6,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,1,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,5,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,CUTH,8,796.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,2,857.0,347.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,5,899.0,336.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,6,899.0,344.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,3,899.0,324.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,4,898.0,357.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,1,899.0,347.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,8,897.0,360.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,10,896.0,375.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,7,896.0,321.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,LBBD,9,900.0,346.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,3,895.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,10,890.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,7,891.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,6,880.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,4,897.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,2,894.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,1,894.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,8,898.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,9,894.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,ILS,5,895.0,0.0,601.0,375.0,Flat,Strong
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,RS,1,862.0,0.0,601.0,375.0,Flat,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,7,795.0,279.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,3,753.0,255.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,8,781.0,273.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,9,739.0,249.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,1,802.0,285.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,5,741.0,260.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,6,843.0,280.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,4,771.0,282.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,2,838.0,241.0,598.0,409.0,Moderate,Strong
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,MIP,10,801.0,284.0,598.0,409.0,Moderate,Strong
