instance,algorithm,seed,objv,lb,bkv,bklb,first_release_time,last_release_time
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,7,444.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,1,445.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,8,443.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,2,445.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,9,444.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,5,443.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,10,444.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,1,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,8,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,5,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,6,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,3,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,4,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,7,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,9,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,10,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,CUTH,2,524.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,8,894.0,306.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,3,824.0,312.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,6,806.0,295.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,9,832.0,307.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,2,879.0,284.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,10,900.0,301.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,4,876.0,293.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,5,771.0,305.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,1,791.0,316.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,LBBD,7,886.0,287.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,5,889.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,1,898.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,6,896.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,4,895.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,3,900.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,ILS,9,875.0,0.0,436.0,316.0,Early,VeryEarly
