instance,algorithm,seed,objv
LA4,IBS_F,8,228
LA6,IBS_F,1,250
LA7,IBS_F,1,263
LB6,IBS_F,10,261
LA0,IBS_F,6,195
LA0,IBS_F,4,194
LB6,IBS_F,4,265
LB5,IBS_F,7,243
LA2,IBS_F,1,194
LA4,IBS_F,1,221
LB5,IBS_F,1,242
LB2,IBS_F,4,200
LA0,IBS_F,7,193
LA4,IBS_F,4,222
LB2,IBS_F,9,201
LA1,IBS_F,10,198
LB2,IBS_F,10,203
LB2,IBS_F,2,199
LB6,IBS_F,7,258
LA6,IBS_F,2,255
LA6,IBS_F,9,261
LA2,IBS_F,5,193
LB6,IBS_F,6,263
LB2,IBS_F,3,200
LB4,IBS_F,9,233
LA5,IBS_F,9,243
LA4,IBS_F,10,226
LB2,IBS_F,1,204
LA6,IBS_F,3,259
LB3,IBS_F,2,219
LB4,IBS_F,3,234
LB1,IBS_F,8,210
LB6,IBS_F,3,254
LA1,IBS_F,6,205
LA3,IBS_F,2,220
LA3,IBS_F,3,221
LB4,IBS_F,7,237
LB0,IBS_F,1,201
LA3,IBS_F,6,213
LB0,IBS_F,9,199
LB3,IBS_F,10,217
LB5,IBS_F,4,240
LB3,IBS_F,5,218
LB2,IBS_F,7,201
LB7,IBS_F,10,261
LB7,IBS_F,2,262
LA7,IBS_F,8,260
LB5,IBS_F,2,246
LA1,IBS_F,2,201
LB1,IBS_F,5,202
LB3,IBS_F,9,214
LB3,IBS_F,7,217
LB6,IBS_F,9,263
LB5,IBS_F,9,238
LA3,IBS_F,9,216
LA3,IBS_F,7,219
LA2,IBS_F,2,200
LA7,IBS_F,5,264
LA6,IBS_F,6,258
LB6,IBS_F,1,257
LB3,IBS_F,4,218
LA5,IBS_F,1,241
LA1,IBS_F,3,197
LA2,IBS_F,3,197
LA5,IBS_F,10,241
LA7,IBS_F,6,262
LA2,IBS_F,8,195
LA3,IBS_F,8,218
LB7,IBS_F,7,261
LB3,IBS_F,6,217
LA4,IBS_F,7,227
LB1,IBS_F,3,206
LB0,IBS_F,2,201
LA6,IBS_F,10,257
