instance,algorithm,seed,objv,lb,bkv,bklb,delay,num_resources
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,1,831.0,541.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,5,838.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,2,839.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,6,838.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,7,840.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,8,839.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,4,834.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,9,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,3,838.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,1,840.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,IBS,10,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,8,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,10,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,3,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,1,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,9,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,5,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,4,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,7,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,6,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,CUTH,2,841.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,3,900.0,333.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,1,896.0,235.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,9,895.0,215.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,8,891.0,290.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,2,891.0,308.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,7,885.0,343.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,5,889.0,361.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,6,885.0,279.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,10,895.0,323.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,LBBD,4,881.0,313.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,6,894.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,2,898.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,5,898.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,3,899.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,9,899.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,8,864.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,1,896.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,4,897.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,7,898.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,ILS,10,894.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,RS,1,868.0,0.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,4,667.0,205.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,7,430.0,210.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,2,398.0,209.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,9,430.0,182.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,10,717.0,207.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,6,420.0,208.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,1,428.0,189.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,8,408.0,209.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,3,412.0,204.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,5,557.0,209.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,2,471.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,7,502.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,1,495.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,IBS,8,466.0,0.0,398.0,215.0,Medium,Many
